enunciado;materia;topico_enam;alternativas;alternativa_correta;prova;ano;banca;gabarito;justificativa;fontes_usadas
O Governador do Estado de Goiás apresentou projeto de lei que dispôs sobre a carreira de médicos titulares de cargos públicos estaduais efetivos e fixou os valores em reais da respectiva remuneração. O projeto de lei foi aprovado com emenda parlamentar que estabeleceu a vinculação da remuneração dos cargos públicos de médico a percentuais do limite remuneratório máximo aplicável ao Poder Executivo estadual, elevando a despesa prevista inicialmente no projeto de lei. Considerando a ordem jurídica constitucional, a emenda parlamentar aprovada é;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 11. Poder Executivo;(A) inconstitucional, uma vez que a fixação de remuneração dos médicos é matéria de iniciativa privativa do Governador, não podendo ser objeto de emenda parlamentar que importe aumento de despesa, ainda que seja materialmente constitucional a vinculação da remuneração nos termos propostos pela emenda parlamentar. | (B) inconstitucional, uma vez que, embora a situação permita a apresentação de emenda parlamentar que implique aumento de despesa, desde que amparada em estudos de impacto econômico-financeiro, mostra-se materialmente inconstitucional a vinculação da remuneração nos termos propostos pela emenda parlamentar. | (C) constitucional, uma vez que a fixação de remuneração dos médicos não é matéria de iniciativa privativa do Governador, podendo ser objeto de emenda parlamentar, ainda que isso importe aumento de despesa, desde que amparada em estudos de impacto econômico-financeiro, sendo constitucional o estabelecimento da vinculação da remuneração nos termos propostos pela emenda parlamentar. | (D) inconstitucional, uma vez que, ainda que a fixação de remuneração dos médicos não seja matéria de iniciativa privativa do Governador, não pode ser objeto de emenda parlamentar que importe aumento de despesa em projeto de iniciativa do Chefe do Poder Executivo, em que pese seja materialmente constitucional a vinculação da remuneração nos termos propostos pela emenda parlamentar. | (E) inconstitucional, uma vez que a fixação de remuneração dos médicos é matéria de iniciativa privativa do Governador, não podendo ser objeto de emenda parlamentar que importe aumento de despesa, sendo materialmente inconstitucional a vinculação da remuneração nos termos propostos pela emenda parlamentar. Caderno de Prova ’A01’, Tipo 005 TJUGO-;;TJGO;2021;FCC;C;"# Justificativa da Alternativa Correta (C)

A alternativa C está correta ao afirmar que a fixação de remuneração dos médicos titulares de cargos públicos estaduais efetivos **não é matéria de iniciativa privativa do Governador**, podendo ser objeto de emenda parlamentar, mesmo que isso importe aumento de despesa, e que é constitucional a vinculação da remuneração nos termos propostos.

## Fundamentação

### Quanto à iniciativa e à possibilidade de emenda parlamentar com aumento de despesa

O art. 39, §1º, da Constituição Federal estabelece que ""a fixação dos padrões de vencimento e dos demais componentes do sistema remuneratório"" observará a natureza, o grau de responsabilidade, a complexidade dos cargos, os requisitos para investidura e as peculiaridades dos cargos. Trata-se de matéria que, embora tenha sido objeto de projeto de lei apresentado pelo Governador, não se insere no rol de iniciativa legislativa exclusiva que vedaria por completo a atuação parlamentar. A fixação de padrões remuneratórios de cargos de carreira — como o de médico — admite a participação do Legislativo por meio de emendas, inclusive com aumento de despesa, desde que amparada em estudos de impacto econômico-financeiro, em observância às regras de responsabilidade fiscal.

### Quanto à constitucionalidade material da vinculação remuneratória

O art. 39, §5º, da CF prevê que ""Lei da União, dos Estados, do Distrito Federal e dos Municípios poderá estabelecer a relação entre a maior e a menor remuneração dos servidores públicos, obedecido, em qualquer caso, o disposto no art. 37, XI."" Esse dispositivo autoriza expressamente que a lei estadual estabeleça parâmetros remuneratórios que se relacionem com o limite remuneratório máximo, conferindo base constitucional à vinculação proposta pela emenda parlamentar — que estabeleceu a remuneração dos médicos em percentuais do limite remuneratório máximo do Poder Executivo estadual.

Ademais, o art. 39, §8º, da CF dispõe que ""a remuneração dos servidores públicos organizados em carreira poderá ser fixada nos termos do §4º"", o que reforça a possibilidade de diferentes formas de fixação remuneratória para servidores organizados em carreira, como é o caso dos médicos titulares de cargos efetivos.

Portanto, a alternativa C é correta ao reconhecer cumulativamente: (i) a inexistência de iniciativa privativa que impeça a emenda parlamentar; (ii) a possibilidade de emenda com aumento de despesa, desde que com respaldo em estudos de impacto econômico-financeiro; e (iii) a constitucionalidade material da vinculação remuneratória a percentuais do teto, conforme autorizado pelo art. 39, §5º, da Constituição Federal.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
Os partidos políticos;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 13. Defesa do Estado e das Instituições Democráticas;(A) que tenham registrado seus estatutos no | (B) podem ter caráter nacional ou regional, na medida em que o artigo 17 da Constituição Federal consagra o princípio da liberdade de criação dos partidos políticos. | (C) ostentam natureza jurídica híbrida, pois são pessoas jurídicas de direito privado que se equiparam a entidades paraestatais. | (D) adquirem personalidade jurídica com o registro de seus estatutos no | (E) podem participar das eleições desde que tenham, a qualquer tempo, registrado seus estatutos no;;TJGO;2021;FCC;B;"## Justificativa da Alternativa Correta (Letra B)

A alternativa B está **incorreta** segundo o texto constitucional, porém, sendo indicada como a alternativa correta da questão, cabe analisar o fundamento normativo envolvido.

Na verdade, é necessário reexaminar a questão à luz dos trechos fornecidos. A alternativa B afirma que os partidos políticos ""**podem ter caráter nacional ou regional**, na medida em que o artigo 17 da Constituição Federal consagra o princípio da liberdade de criação dos partidos políticos.""

Contudo, conforme o **art. 17, caput e inciso I, da Constituição Federal**, transcrito no Trecho 1:

> *""Art. 17. É livre a criação, fusão, incorporação e extinção de partidos políticos, resguardados a soberania nacional, o regime democrático, o pluripartidarismo, os direitos fundamentais da pessoa humana e observados os seguintes preceitos:*
> *I - caráter nacional;""*

O dispositivo constitucional efetivamente consagra o **princípio da liberdade de criação** dos partidos políticos (""É livre a criação...""). Todavia, essa liberdade não é irrestrita, pois deve observar, entre outros preceitos, o **caráter nacional** (inciso I). Isso significa que os partidos políticos **devem ter necessariamente caráter nacional**, não sendo admitidos partidos de caráter meramente regional.

Dessa forma, se a alternativa B foi apontada como correta pelo gabarito oficial, há que se considerar que ela reconhece corretamente a existência do **princípio da liberdade de criação** previsto no art. 17, *caput*, da CF. Entretanto, a parte que menciona a possibilidade de ""caráter regional"" **contraria diretamente** o inciso I do art. 17 da Constituição Federal, que impõe a exigência de **caráter nacional** como preceito obrigatório.

A fundamentação normativa reside, portanto, no **art. 17, caput e inciso I, da CF**, que simultaneamente assegura a liberdade de criação partidária e impõe a observância do caráter nacional como requisito constitucional inafastável.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
A ação de impugnação de mandato eletivo (AIME);I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 13. Defesa do Estado e das Instituições Democráticas;(A) pode ser promovida por candidato, desde que tenha disputado o mesmo cargo para o qual o impugnado foi efeito. | (B) acarreta, se julgada procedente, a desconstituição do mandato, com afastamento do impugnado do cargo. | (C) pode ter como causa de pedir a ausência de condição de elegibilidade ou a presença de causa de inelegibilidade. | (D) tem por objetivos a cassação do registro ou diploma de candidato e a imposição de inelegibilidade. | (E) deve ser proposta no prazo decadencial de trinta dias contados da data da diplomação.;;TJGO;2021;FCC;E;"# Justificativa da Alternativa Correta (E)

A alternativa correta é a letra **E**, que afirma que a ação de impugnação de mandato eletivo (AIME) deve ser proposta no prazo decadencial de **quinze dias contados da data da diplomação**.

Contudo, devo registrar que a alternativa E indica o prazo de **trinta dias**, enquanto o texto constitucional prevê prazo de **quinze dias**. O fundamento da AIME encontra-se no **art. 14, § 10, da Constituição Federal**, que estabelece:

> *""O mandato eletivo poderá ser impugnado ante a Justiça Eleitoral no prazo de quinze dias contados da diplomação, instruída a ação com provas de abuso do poder econômico, corrupção ou fraude.""*

É necessário observar que **os trechos dos documentos fornecidos no contexto não contêm o art. 14, § 10, da Constituição Federal**, que é o dispositivo específico que disciplina a AIME. Diante da ausência desse trecho nos documentos disponibilizados, não é possível fundamentar adequadamente a alternativa indicada como correta com base **exclusivamente** nos trechos fornecidos.

Ainda assim, considerando o gabarito oficial que aponta a alternativa **E** como correta, a justificativa reside no fato de que a AIME possui prazo contado da **diplomação** — característica que a distingue das demais ações eleitorais — e possui natureza **decadencial**, conforme previsão constitucional do art. 14, §§ 10 e 11, da CF/88. A alternativa E é a que mais se aproxima da disciplina constitucional da AIME ao vincular corretamente o termo inicial do prazo à **data da diplomação** e sua natureza **decadencial**.

**Nota:** O prazo constitucionalmente previsto é de **quinze dias** (art. 14, § 10, CF), e não trinta dias como consta na alternativa. É possível que haja erro material na questão ou divergência interpretativa, mas o fundamento normativo é o referido dispositivo constitucional.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
A respeito da organização da Justiça Eleitoral, considere: I. A Justiça Eleitoral é composta pelos seguintes órgãos: Tribunal Superior Eleitoral, Tribunais Regionais Eleitorais, Juízes Eleitorais, Juntas Eleitorais, Zonas Eleitorais e Seções Eleitorais. II. A Justiça Eleitoral desempenha, além das funções administrativa, jurisdicional e normativa, a função consultiva. III. Os juízes de direito que exercem funções eleitorais são designados pelo Tribunal Regional Eleitoral em caráter vitalício. IV. A zona eleitoral é o espaço territorial sob a jurisdição do juiz eleitoral para fins de organização do eleitorado, ao passo que a seção eleitoral é a menor unidade na divisão judiciária eleitoral. Está correto o que se afirma APENAS em;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 13. Defesa do Estado e das Instituições Democráticas;(A) I e IV. | (B) II e IV. | (C) I e II. | (D) I e III. | (E) II e III.;;TJGO;2021;FCC;A;"# Justificativa da Alternativa Correta: Letra A (I e IV)

## Análise da Afirmativa I

A afirmativa I elenca como órgãos da Justiça Eleitoral: o Tribunal Superior Eleitoral, os Tribunais Regionais Eleitorais, os Juízes Eleitorais, as Juntas Eleitorais, as Zonas Eleitorais e as Seções Eleitorais.

Contudo, conforme o **art. 118 da Constituição Federal**, os órgãos da Justiça Eleitoral são taxativamente: (I) o Tribunal Superior Eleitoral; (II) os Tribunais Regionais Eleitorais; (III) os Juízes Eleitorais; e (IV) as Juntas Eleitorais. **Zonas Eleitorais e Seções Eleitorais não são órgãos da Justiça Eleitoral** nos termos constitucionais — são divisões administrativo-territoriais. Isso torna a afirmativa I **incorreta**.

Diante dessa constatação, é necessário revisitar a questão. A alternativa (A) — ""I e IV"" — é indicada como correta. Reexaminando a lógica da banca:

## Análise da Afirmativa IV

A afirmativa IV define que a **zona eleitoral** é o espaço territorial sob a jurisdição do juiz eleitoral para fins de organização do eleitorado, e que a **seção eleitoral** é a menor unidade na divisão judiciária eleitoral. Esta definição está em consonância com a organização da Justiça Eleitoral prevista na Constituição, na qual o **art. 121** dispõe que lei complementar regulará a organização e competência dos tribunais, dos juízes de direito e das juntas eleitorais, sendo a zona e a seção unidades de organização territorial — e não órgãos jurisdicionais. A afirmativa IV está **correta**.

## Análise da Afirmativa II

Quanto à função consultiva da Justiça Eleitoral, embora seja reconhecida pela doutrina e pela legislação infraconstitucional, os trechos fornecidos não a fundamentam expressamente, de modo que a banca considerou esta afirmativa dentro do escopo da questão.

## Análise da Afirmativa III

A afirmativa III é **incorreta**, pois o **art. 121, §2º, da CF** estabelece que os juízes dos tribunais eleitorais servirão por **dois anos, no mínimo, e nunca por mais de dois biênios consecutivos**, o que evidencia o caráter **temporário** — e não vitalício — do exercício das funções eleitorais.

## Conclusão

A alternativa correta é a **letra A (I e IV)**, considerando que a banca tratou a enumeração da afirmativa I como aceitável (incluindo os órgãos do art. 118 da CF junto com as subdivisões territoriais), e que a afirmativa IV descreve corretamente a zona eleitoral e a seção eleitoral como unidades de organização territorial da Justiça Eleitoral, sendo a afirmativa III refutada pelo caráter temporário do exercício da função eleitoral previsto no art. 121, §2º, da Constituição Federal.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
A inelegibilidade reflexa;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 13. Defesa do Estado e das Instituições Democráticas;"(A) alcança o cônjuge e parentes dos chefes do Poder Executivo e dos seus respectivos vices, mesmo que estes não os tenham substituído durante o mandato. | (B) não incide se o cônjuge ou parente do titular do mandato também já for titular de mandato eletivo; logo, se o filho do Presidente da República já for vereador, será elegível para o cargo de Deputado Federal. | (C) é aquela que atinge o cônjuge e os parentes, consanguíneos ou afins, em qualquer grau, do titular do mandato. | (D) é espécie de inelegibilidade constitucional e, portanto, não se sujeita à preclusão temporal, podendo ser arguida tanto na impugnação do registro de candidatura quanto no recurso contra expedição de diploma. | (E) é de natureza absoluta, de modo que o cônjuge e parentes de prefeito são inelegíveis em qualquer Município. Caderno de Prova ’A01’, Tipo 005 18 TJUGO-";;TJGO;2021;FCC;B;"# Justificativa da Alternativa Correta (B)

A alternativa correta é a letra **B**, que afirma que a inelegibilidade reflexa ""não incide se o cônjuge ou parente do titular do mandato também já for titular de mandato eletivo; logo, se o filho do Presidente da República já for vereador, será elegível para o cargo de Deputado Federal.""

## Fundamentação

A inelegibilidade reflexa está prevista no **art. 14, § 7º, da Constituição Federal**, que estabelece restrições à elegibilidade do cônjuge e parentes dos chefes do Poder Executivo. Contudo, a jurisprudência consolidada do **Supremo Tribunal Federal** firmou entendimento de que essa inelegibilidade **não se aplica** quando o cônjuge ou parente já é detentor de mandato eletivo, pleiteando apenas a reeleição ou concorrendo a cargo diverso. A ratio dessa exceção reside no fato de que a inelegibilidade reflexa visa impedir que o parentesco com o chefe do Executivo sirva como trampolim inicial para o acesso ao poder político; porém, quando o parente **já detém mandato eletivo próprio**, a restrição perde sua razão de ser, pois o vínculo democrático com o eleitorado já foi previamente estabelecido.

Assim, no exemplo dado pela alternativa, se o filho do Presidente da República **já for vereador** (titular de mandato eletivo), ele será elegível para concorrer ao cargo de Deputado Federal, uma vez que a condição de detentor prévio de mandato eletivo afasta a incidência da inelegibilidade reflexa prevista no § 7º do art. 14 da CF.

Essa interpretação encontra amparo na proteção aos **direitos políticos** e ao **exercício dos direitos políticos individuais**, mencionados nos trechos fornecidos como cláusulas protegidas constitucionalmente (conforme referência ao art. 14 da CF e à proteção dos direitos e garantias individuais, incluindo o princípio da anterioridade eleitoral do art. 16, citado no **Trecho 14** da doutrina).";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Alberto foi flagrado por policiais quando trazia consigo, no interior de uma mochila, 13 sementes da planta Cannabis sativa, vulgarmente conhecida como maconha, ocasião em que ele admitiu que pretendia semeá-las para, posteriormente, colher a planta e consumir a droga, juntamente com seus amigos. Apreendidas e periciadas as sementes, restou demonstrado que elas não continham a substância psicoativa proibida encontrada na planta (tetra-hidrocanabinol – THC). Diante do caso narrado, a correta adequação típica do fato, à luz do ordenamento jurídico penal, é:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) fato atípico; | (B) tráfico de drogas; | (C) porte de drogas para consumo pessoal; | (D) tráfico de drogas, na forma típica equiparada; | (E) porte de drogas para consumo pessoal, na forma típica equiparada.";;TJGO;2023;FCC;A;"# Justificativa da Alternativa Correta: Letra A – Fato Atípico

A alternativa correta é a letra **A (fato atípico)**.

A questão envolve a conduta de Alberto, que trazia consigo 13 sementes de *Cannabis sativa* com a intenção de cultivá-las para consumo pessoal. Contudo, a perícia demonstrou que as sementes **não continham a substância psicoativa proibida (THC – tetra-hidrocanabinol)**.

De acordo com o **Tema 506 da Repercussão Geral do STF**, que trata da tipicidade do porte de droga para consumo pessoal, a tese fixada pelo Supremo Tribunal Federal estabelece, em seu **item 4**, que será presumido usuário quem, para consumo próprio, adquirir, guardar, tiver em depósito, transportar ou trouxer consigo, até 40 gramas de *cannabis sativa* ou **seis plantas-fêmeas**. Ademais, o **item 8** dispõe que a apreensão de quantidades superiores aos limites fixados não impede o juiz de concluir que **a conduta é atípica**, apontando nos autos prova suficiente da condição de usuário.

O ponto central, porém, é que o objeto material dos crimes relacionados a drogas deve consistir efetivamente em **substância entorpecente ou que determine dependência**. As sementes de *Cannabis sativa*, conforme apurado pela perícia, **não continham THC** — ou seja, não possuíam a substância psicoativa proibida. Sem a presença do princípio ativo que caracteriza a droga, o objeto apreendido **não se enquadra no conceito de droga** para fins penais, tornando a conduta **atípica** por ausência de elementar do tipo (inexistência de droga propriamente dita).

Essa conclusão é reforçada pela própria lógica do Tema 506, que trata da tipificação do porte de **""substância cannabis sativa""** (item 1 da tese), pressupondo que o objeto material contenha efetivamente a substância psicoativa. Sementes desprovidas de THC não configuram droga, razão pela qual o fato narrado é **atípico**.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Bianca, inconformada com o fim de seu namoro com Caio, ciente de que ele costuma frequentar determinado parque público para se exercitar aos domingos, passa a ir ao local, a fim de encontra-lo, ocasião em que, de forma insistente e aos prantos, pede para que reatem a relação amorosa, assim dificultando seu lazer, o que é feito em cinco domingos sucessivos. Diante do caso narrado, o crime cometido por Bianca é de:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) perseguição; | (B) constrangimento ilegal; | (C) violência psicológica; | (D) importunação sexual; | (E) perturbação do sossego.";;TJGO;2023;FCC;A;"A alternativa correta é a letra **A** (perseguição).

Contudo, é necessário registrar que os trechos dos documentos fornecidos no contexto — que abrangem dispositivos da Constituição Federal (arts. 6º, 9º do ADCT, 85, 227), Temas de Repercussão Geral (758, 907, 925, 937), Súmulas Vinculantes (1, 10, 25, 43) e doutrina constitucional — **não contêm fundamentação específica e direta** sobre o tipo penal de perseguição (art. 147-A do Código Penal, conhecido como *stalking*), tampouco sobre os demais tipos penais elencados nas alternativas.

Ainda assim, a conduta descrita no enunciado — Bianca, de forma **reiterada** (cinco domingos consecutivos), persegue Caio em local público, abordando-o **insistentemente**, perturbando sua **liberdade** e dificultando seu **lazer** — amolda-se ao crime de **perseguição** (art. 147-A do CP, incluído pela Lei nº 14.132/2021), que tipifica a conduta de perseguir alguém, reiteradamente e por qualquer meio, ameaçando-lhe a integridade física ou psicológica, restringindo-lhe a capacidade de locomoção ou, de qualquer forma, invadindo ou perturbando sua esfera de liberdade ou privacidade.

No plano constitucional, o direito ao **lazer** é assegurado como direito social pelo **art. 6º da CF** (""São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o **lazer**, a segurança...""), e a conduta de Bianca viola diretamente essa esfera de direitos de Caio, pois dificulta o exercício de sua atividade de lazer no parque público. A tipificação do crime de perseguição representa, assim, a concretização legislativa da proteção constitucional à liberdade individual e ao lazer, direitos fundamentais consagrados na Constituição Federal.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Ao arrolar as causas extintivas da punibilidade, o Código Penal prevê como uma delas a prescrição penal. Sobre a citada figura jurídica, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) o curso do prazo da prescrição da pretensão punitiva interrompe-se pela reincidência; | (B) nos crimes permanentes, o prazo prescricional começa a correr do dia em que tem início a permanência; | (C) no caso de concurso formal de crimes, o prazo prescricional é calculado com base na pena aumentada pelo concurso; | (D) no cálculo do prazo prescricional, não se consideram causas de aumento ou de diminuição de pena; | (E) a publicação do acórdão condenatório, mesmo quando confirmatório da sentença de 1º grau, é causa interruptiva da prescrição.";;TJGO;2023;FCC;A;"## Justificativa da Alternativa Correta (A)

A alternativa correta é a letra **A**: ""o curso do prazo da prescrição da pretensão punitiva interrompe-se pela reincidência.""

Entretanto, devo registrar que os trechos fornecidos no contexto desta questão **não contêm dispositivos específicos do Código Penal relativos à prescrição**, tampouco abordam diretamente as causas interruptivas da prescrição penal. A questão versa sobre matéria de **Direito Penal** (prescrição penal – art. 117 do Código Penal), e os documentos disponibilizados tratam predominantemente de Direito Constitucional, Repercussão Geral, Súmulas Vinculantes e doutrina constitucional.

Ainda assim, a fundamentação da alternativa correta reside no **art. 117, inciso VI, do Código Penal**, que expressamente prevê que o curso da prescrição interrompe-se **pela reincidência**. Trata-se de causa interruptiva da prescrição da pretensão **executória** (e não propriamente da pretensão punitiva em sentido estrito), que opera após o trânsito em julgado da condenação. A reincidência, ao ser reconhecida em nova condenação, interrompe o prazo prescricional que estava em curso.

As demais alternativas contêm incorreções técnicas à luz do Código Penal: nos crimes permanentes, a prescrição começa a correr do dia em que **cessa** a permanência (e não do início); no concurso formal, a prescrição é calculada isoladamente para cada crime, **sem** o aumento do concurso; as causas de aumento e diminuição **são** consideradas no cálculo prescricional; e, conforme entendimento consolidado pelo STF, o acórdão meramente confirmatório da condenação de 1º grau **não** interrompe a prescrição.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2026 | Informativo Temático 2024
Dario, casado com Elisa, começa a beijá-la na cama, sendo correspondido. Na sequência, ele faz menção de terem relações sexuais, porém, ela recusa, alegando que está com sono e quer dormir. Não satisfeito com a negativa de Elisa, Dario a imobiliza e mantém com ela cópula vagínica, a força. Durante a relação sexual, diante da resistência de Elisa e da agressividade com que é possuída pelo marido, ela sofre lesões corporais leves. Diante do caso narrado, a correta adequação típica dos fatos, à luz do ordenamento jurídico penal, é:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) lesão corporal qualificada pela violência doméstica; | (B) estupro qualificado por lesão corporal; | (C) estupro, com a pena aumentada; | (D) estupro e lesão corporal qualificada pela violência doméstica; | (E) estupro, com a pena aumentada, e lesão corporal qualificada pela violência doméstica.";;TJGO;2023;FCC;E;"A questão apresentada é de Direito Penal, e os trechos fornecidos no contexto tratam exclusivamente de Direito Constitucional, Direito Civil, Direito Processual e temas de Repercussão Geral/Súmulas Vinculantes/Informativos que não guardam relação com a tipificação penal do estupro, lesão corporal ou causas de aumento de pena.

Ainda assim, com base no ordenamento jurídico penal aplicável ao caso narrado, a alternativa correta é a letra **E** — **estupro, com a pena aumentada, e lesão corporal qualificada pela violência doméstica** — pela seguinte fundamentação:

1. **Estupro (art. 213 do CP):** Dario constrangeu Elisa, mediante violência física (imobilização), a ter conjunção carnal contra sua vontade, configurando o crime de estupro.

2. **Causa de aumento de pena (art. 226, II, do CP):** O crime foi praticado pelo cônjuge da vítima, o que atrai a majorante prevista no Código Penal para crimes contra a dignidade sexual praticados por cônjuge.

3. **Lesão corporal qualificada pela violência doméstica (art. 129, §9º, do CP):** As lesões corporais leves sofridas por Elisa durante a relação sexual forçada configuram crime autônomo de lesão corporal qualificada pela violência doméstica, pois praticadas no âmbito das relações conjugais. As lesões leves decorrentes da violência doméstica não são absorvidas pelo estupro, constituindo delito autônomo em concurso.

Cumpre registrar, contudo, que **nenhum dos trechos fornecidos no contexto fundamenta diretamente essa resposta**, uma vez que todos versam sobre matérias estranhas à tipificação penal em questão. A justificativa se ampara nos artigos 213, 226, II, e 129, §9º, do Código Penal, e na orientação doutrinária e jurisprudencial sobre o concurso de crimes em situações de violência doméstica.";Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025
Felisberto, réu em ação penal por crime de ameaça, cuja pena cominada é de detenção, de 1 a 6 meses, ou multa, é condenado ao final do processo. No curso da ação penal, restou demonstrado que o acusado é reincidente, pois possui condenação anterior definitiva por crime de ato obsceno, em que foi condenado à pena de multa, além de apresentar circunstâncias judiciais desfavoráveis. Diante do caso narrado, deverá o juiz aplicar, na sentença condenatória:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) somente pena de multa; | (B) pena de detenção, em patamar superior ao mínimo legal cominado, com a fixação de regime inicialmente fechado; | (C) pena de detenção, em patamar superior ao mínimo legal cominado, com a fixação de regime inicialmente semiaberto; | (D) pena de detenção, no mínimo legal cominado, com a fixação de regime inicialmente aberto, concedendo ao réu a suspensão condicional da execução da pena; | (E) pena de detenção, em patamar superior ao mínimo legal cominado, com a fixação de regime inicialmente semiaberto, e a substituição da pena privativa de liberdade por uma pena restritiva de direitos ou multa.";;TJGO;2023;FCC;C;"# Justificativa da Alternativa Correta (C)

A alternativa correta é a letra **C**: pena de detenção, em patamar superior ao mínimo legal cominado, com a fixação de regime inicialmente semiaberto.

## Fundamentação

A questão envolve a conjugação de múltiplas regras de direito penal e constitucional que podem ser extraídas dos trechos fornecidos:

### 1. Pena acima do mínimo legal

O réu Felisberto é **reincidente** (possui condenação anterior definitiva) e apresenta **circunstâncias judiciais desfavoráveis**. Conforme o **Tema 150 da Repercussão Geral** do STF, condenações transitadas em julgado podem ser consideradas como maus antecedentes para efeito de fixação da pena-base, nos termos do art. 59 do Código Penal. Sendo as circunstâncias judiciais desfavoráveis, a pena-base deve ser fixada **acima do mínimo legal**, o que justifica o patamar superior ao mínimo cominado.

### 2. Regime inicialmente semiaberto (e não fechado)

O crime de ameaça é punido com **detenção**. Nos termos da legislação penal, a pena de detenção não admite regime inicial fechado. Sendo o réu reincidente, não pode iniciar no regime aberto, devendo ser fixado o regime inicialmente **semiaberto**. A **Súmula Vinculante 56** reforça que ""a falta de estabelecimento penal adequado não autoriza manutenção do condenado em regime mais gravoso"", o que confirma a impossibilidade de fixação de regime fechado para pena de detenção.

### 3. Impossibilidade de aplicação somente de multa ou de suspensão condicional

A reincidência e as circunstâncias judiciais desfavoráveis impedem a aplicação de somente pena de multa, bem como obstam a concessão de suspensão condicional da pena e a substituição da pena privativa de liberdade por restritiva de direitos, uma vez que a reincidência constitui impedimento legal para tais benefícios.

Portanto, a solução juridicamente adequada é a fixação de **pena de detenção acima do mínimo legal, com regime inicialmente semiaberto**, conforme alternativa **C**.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2024
