Código;enunciado;alternativas;Matéria;Subtópico 1;Subtópico 2
TJAP22-11;Marcelo firmou com Reinaldo contrato de locação de imóvel urbano para fins residenciais pelo prazo de dois anos. Na condição de locador, Marcelo poderá reaver o imóvel antes do término do prazo:;"(A) se o pedir para uso próprio, de seu cônjuge ou companheiro, ou para uso residencial de ascendente ou descendente que não disponha, assim como seu cônjuge ou companheiro, de imóvel residencial próprio; | (B) em decorrência de extinção do contrato de trabalho, se a ocupação do imóvel pelo locatário estava relacionada com o seu emprego; | (C) se for pedido para demolição e edificação licenciada ou para a realização de obras aprovadas pelo poder público, que aumentem a área construída em, no mínimo, 20%; | (D) por mútuo acordo, em decorrência da prática de infração legal ou contratual, ou ainda em decorrência da falta de pagamento do aluguel e demais encargos; | (E) para a realização de reparações urgentes determinadas pelo poder público, ainda que possam ser executadas com a permanência do locatário no imóvel.";VI.DIREITO CIVIL;8. Contratos em espécie;sem aderencia. (subtópico não encontrado)
TJAP22-12;Roberval tornou-se síndico do condomínio do edifício Castanheira. Buscando valorizar o imóvel e remediar alguns problemas inconvenientes do edifício, ele precisa realizar certas obras. Quanto a elas, é correto afirmar que:;"(A) as obras necessárias e urgentes que importem em despesas excessivas podem ser realizadas imediatamente pelo síndico, dispensada comunicação à assembleia; | (B) as obras que importarem em despesas excessivas dependem de aprovação em assembleia especial, cuja convocação compete exclusivamente ao síndico; | (C) o condômino que realizar obras não necessárias, mas de interesse comum, será reembolsado das despesas que efetuar; | (D) a realização de obras voluptuárias dependerá de autorização prévia da assembleia, mediante aprovação da maioria dos condôminos; | (E) não são permitidas construções, nas partes comuns, suscetíveis de prejudicar a utilização, por qualquer dos condôminos, das partes próprias ou comuns.";II.DIREITO ADMINISTRATIVO;12. Serviço Público;sem aderencia. (subtópico não encontrado)
TJAP22-13;Justina, casada há 25 anos, substituiu, por ocasião do casamento civil com Eduardo, um dos seus patronímicos pelo do marido. Ocorre que o sobrenome adotado passou a ser o protagonista de seu nome civil, em prejuízo do patronímico de solteira, o que passou a lhe causar intenso sofrimento, uma vez que sempre fora conhecida pelo sobrenome de seu pai. Tal fato lhe trouxe danos psicológicos, especialmente agora que os últimos familiares que ainda usam o seu sobrenome familiar encontram-se gravemente doentes. Por essas razões, Justina requereu a modificação do seu patronímico, ainda durante a constância da sociedade conjugal, de forma a voltar a utilizar o sobrenome da sua família. O pedido deve ser julgado:;"(A) improcedente, em virtude do princípio da inalterabilidade do nome ser considerado absoluto na constância da sociedade conjugal; | (B) procedente, pois a autonomia privada é uma das exceções à inalterabilidade do nome previstas na Lei de Registros Públicos; | (C) procedente, pela interpretação histórico-evolutiva da inalterabilidade, da preservação da herança familiar, da autonomia privada e da ausência de prejuízo a terceiros; | (D) improcedente, em razão da modificação do nome civil ser qualificada como excepcional, tendo em vista a consideração à segurança de terceiros; | (E) improcedente, em virtude da proteção à estabilidade do vínculo conjugal e aos interesses do outro cônjuge, ao menos durante a constância da sociedade conjugal.";VI.DIREITO CIVIL;2. Pessoas naturais;sem aderencia. (subtópico não encontrado)
TJAP22-14;Adalberto está sendo acusado de, ao conduzir seu veículo embriagado, ter atropelado e causado danos a Lucélia. Ele está sendo acionado na esfera criminal por conta das lesões que teria causado a ela. Sobre sua obrigação de indenizá-la na esfera cível pelos danos sofridos, é correto afirmar que:;"(A) ainda que condenado na esfera criminal, a quantificação do dever de indenizar depende de procedimento cível, tendo em vista a diversidade de requisitos entre o ilícito penal e o civil; | (B) a absolvição no âmbito penal impede que ele seja condenado no âmbito cível, se a sentença for fundada na inexistência do fato ou da autoria; | (C) a sentença penal absolutória fundada em excludente de ilicitude vincula o juízo cível, inviabilizando qualquer pretensão da vítima à indenização em face dele; | (D) absolvido na seara criminal por falta de provas do fato, da culpa ou da autoria, fica Adalberto liberado de responsabilidade civil; | (E) a sentença penal absolutória fundada em atipicidade do fato afasta a obrigação de indenizar na esfera cível, inviabilizando a investigação sobre ato ilícito nessa seara. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 6";VIII.DIREITO PENAL;9. Culpabilidade;sem aderência
TJAP22-15;Cássia morreu intestada em 2019, deixando uma companheira, Ana, com quem vivia, de forma pública, contínua e duradoura, com objetivo de constituir família, há cerca de dez anos. Em um relacionamento anterior, durante sua juventude, Cássia teve três filhos: Roger, Alan e Juliana. Roger faleceu em 2008, deixando uma filha então recém-nascida, Ingrid, que é a única neta de Cássia. Alan, por não concordar com a orientação sexual assumida pela mãe, teve com ela uma discussão dura em 2017, com troca de grosserias e ofensas, e desde então não mais se falavam. Juliana abriu mão de sua parte na herança de Cássia em favor de sua sobrinha Ingrid. Sobre a sucessão de Cássia, é correto afirmar que:;"(A) a união homoafetiva com Cássia autoriza Ana a pretender a meação dos bens adquiridos onerosamente na sua constância, mas não lhe atribui direitos sucessórios; | (B) a parcela da herança que seria atribuída a Roger será dividida entre Alan e Juliana, em vista do direito de acrescer decorrente de serem herdeiros de mesma classe; | (C) Ingrid somente terá direitos sucessórios se, além de Juliana, também Alan renunciar à herança, pois os descendentes em grau mais próximo excluem os mais remotos; | (D) Alan somente será excluído da sucessão se caracterizada judicialmente a ocorrência de crime contra a honra de Cássia e declarada a indignidade por sentença; | (E) o ato de Juliana caracteriza renúncia à herança, de modo retroativo, produzindo efeitos como se ela jamais tivesse adquirido direito sobre o acervo hereditário. Direito Processual Civil";VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderencia. (subtópico não encontrado)
TJAP22-16;Intentada determinada demanda, o réu, no curso da fase de instrução probatória, percebeu que os elementos carreados aos autos não respaldavam os seus argumentos defensivos e, também, que realmente assistia ao autor o direito afirmado na petição inicial. No intuito de evitar a prolação de uma sentença de mérito em seu desfavor, o demandado revogou o mandato outorgado ao seu único advogado. Percebendo o vício de representação processual, o juiz da causa determinou a intimação do réu para que o sanasse, sem que, todavia, este tivesse adotado qualquer providência. Nesse cenário, deve o juiz:;"(A) decretar a revelia do réu e determinar a abertura de vista dos autos ao curador especial para desempenhar a sua defesa; | (B) determinar a suspensão do processo, até que o vício de representação do réu seja regularizado; | (C) julgar extinto o feito, sem resolução do mérito, por ausência de pressuposto processual de validade; | (D) proferir sentença de mérito, acolhendo o pedido formulado pelo autor; | (E) ordenar a expedição de ofício à OAB, solicitando a disponibilização de advogado para exercer a defesa do réu.";V.DIREITO PROCESSUAL CIVIL;6. Atos processuais: forma, tempo e lugar;sem aderencia. (subtópico não encontrado)
TJAP22-17;Intentou-se demanda em face de incapaz, na qual a parte autora deduziu pretensão de cobrança de uma obrigação contratual. Validamente citado, o réu ofertou contestação, suscitando, entre outras matérias defensivas, a prescrição do direito de crédito. Atuando no feito como fiscal da ordem jurídica, o Ministério Público lançou a sua promoção final, opinando pelo reconhecimento da prescrição. Ao proferir a sentença, o juiz da causa, sem atentar para a arguição da prescrição na peça contestatória, tampouco para a opinativa ministerial, julgou procedente o pleito do autor. Tomando ciência do ato decisório, o órgão ministerial, sete dias depois de sua intimação pessoal, interpôs embargos de declaração, nos quais, alegando que o órgão julgador havia se omitido quanto ao tema, requereu a apreciação e o consequente reconhecimento do fenômeno prescricional. Ao tomar contato com os embargos declaratórios do Ministério Público, deve o juiz:;"(A) deixar de recebê-los, em razão da falta de legitimidade do recorrente; | (B) deixar de recebê-los, em razão da intempestividade da peça recursal; | (C) determinar a remessa dos autos ao órgão de segunda instância; | (D) recebê-los e acolher de imediato a pretensão recursal, para reconhecer a prescrição e rejeitar o pedido do autor; | (E) recebê-los e determinar a intimação da parte autora para apresentar, caso queira, a sua resposta ao recurso.";V.DIREITO PROCESSUAL CIVIL;13. Recursos;sem aderência
TJAP22-19;No que concerne ao processo de execução, é correto afirmar que:;"(A) efetivadas a expropriação do bem do devedor, a sua alienação e a satisfação do crédito exequendo, o juiz deve proferir despacho ordenando o arquivamento do feito; | (B) a homologação de eventual desistência da ação depende da concordância do executado, se este já tiver sido citado; | (C) ainda que disponha de um título executivo extrajudicial, o credor pode optar pela via da ação de conhecimento; | (D) a liquidez da obrigação constante do título executivo fica afastada se a apuração do crédito reclamar operações aritméticas simples; | (E) o credor pode cumular várias execuções em face do mesmo devedor, ainda que o procedimento seja distinto e desde que o juízo seja competente para processar ao menos uma delas.";V.DIREITO PROCESSUAL CIVIL;17. Execução de títulos extrajudiciais;sem aderencia. (subtópico não encontrado)
TJAP22-20;Coexistem, em juízos cíveis de comarcas distintas, dois processos, ainda não sentenciados. Em um deles, o credor de uma obrigação contratual pleiteia a condenação do devedor a cumpri-la, ao passo que, no outro, o devedor persegue a declaração de nulidade do mesmo contrato. Nesse cenário, é correto afirmar que os feitos:;"(A) devem ser reunidos para julgamento conjunto pelo órgão judicial onde tiver ocorrido a primeira citação válida; | (B) devem ser reunidos para julgamento conjunto pelo órgão judicial onde tiver ocorrido a primeira distribuição; | (C) devem ser reunidos para julgamento conjunto pelo órgão judicial que tiver proferido o primeiro provimento liminar positivo; | (D) não devem ser reunidos, suspendendo-se o curso daquele que foi distribuído em segundo lugar, no aguardo do julgamento do primeiro; | (E) não devem ser reunidos, extinguindo-se aquele que foi distribuído em segundo lugar, em razão da litispendência.";V.DIREITO PROCESSUAL CIVIL;3. Competência;sem aderencia. (subtópico não encontrado)
TJAP22-21;André, domiciliado em Macapá, ajuizou ação de reintegração de posse de imóvel de sua propriedade, situado em Laranjal do Jari, em face de Paulo, domiciliado em Santana. Considerando que a demanda foi intentada perante juízo cível da Comarca de Macapá, o magistrado, tomando contato com a petição inicial, deve:;"(A) declinar, de ofício, da competência em favor do juízo cível da Comarca de Laranjal do Jari; | (B) declinar, de ofício, da competência em favor do juízo cível da Comarca de Santana; | (C) determinar a citação de Paulo, já reconhecendo que a competência é do juízo cível da Comarca de Macapá; | (D) determinar a citação de Paulo e, caso este suscite a incompetência, ordenar a remessa dos autos ao juízo cível da Comarca de Santana; | (E) reconhecer a incompetência do juízo cível da Comarca de Macapá e extinguir o feito, sem resolução do mérito.";V.DIREITO PROCESSUAL CIVIL;3. Competência;sem aderência
TJAP22-22;Menor, com 16 anos de idade, intentou, perante o Juizado Especial Cível, ação indenizatória em que pleiteava a condenação do réu a lhe pagar verba indenizatória correspondente a trinta vezes o salário mínimo. Validamente citada, a parte ré, sem prejuízo das suas matérias defensivas de natureza meritória, suscitou, preliminarmente, a incompetência do foro e a irregularidade da representação processual do autor, que outorgara instrumento de mandato ao seu advogado sem que estivesse assistido por seu pai ou sua mãe. Considerando que os vícios processuais arguidos efetivamente se configuraram, deve o juiz:;"(A) determinar a intimação do autor para regularizar a representação processual e, após, declinar da competência em favor do juizado situado no foro competente; | (B) determinar a intimação do autor para manifestar renúncia ao valor que exceda o patamar de vinte vezes o salário mínimo, de modo a dispensar a presença de advogado; | (C) proferir sentença em que julgue extinto o feito sem resolução do mérito; | (D) designar audiência de conciliação, instrução e julgamento para a colheita da prova oral; | (E) declinar da competência em favor do juizado situado no foro competente, ao qual caberá aferir a regularidade, ou não, da representação processual do autor.";V.DIREITO PROCESSUAL CIVIL;4. Ação e tutela jurisdicional dos direitos;20. O Poder Público em juízo
TJAP22-23;Em um procedimento litigioso de separação judicial, em que as partes, não havendo nascituros ou filhos, após saneado o feito, manifestam ao juiz a pretensão de convolar o processo para divórcio consensual, é correto afirmar que:;"(A) não é possível a alteração objetiva da demanda, uma vez operado o saneamento do processo; | (B) não é possível a alteração objetiva da demanda, uma vez já estabilizada com a citação; | (C) é possível a alteração subjetiva da demanda, uma vez que não há impedimento temporal na lei; | (D) é possível a alteração da demanda, uma vez que as partes estão impedidas de obter escritura pública para o divórcio; | (E) é possível a alteração da demanda, uma vez que, no caso, o juiz não é obrigado a observar critério de legalidade estrita. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 8";V.DIREITO PROCESSUAL CIVIL;4. Ação e tutela jurisdicional dos direitos;sem aderencia. (subtópico não encontrado)
TJAP22-24;No curso do procedimento, o réu reconheceu a procedência do pedido de ressarcimento do dano material, que foi julgado procedente por meio de uma decisão interlocutória, que não foi objeto de recurso. Todavia, contestou o pedido de reparação de dano moral, uma vez que entendeu ser este inexistente. Após o regular prosseguimento do feito, sobreveio sentença, em que foi julgado procedente in totum o pedido de reparação do dano moral. Nesse cenário, pretendendo o réu recorrer dessa sentença, é correto afirmar que:;"(A) cabe apelação para rediscutir integralmente a lide, uma vez que a decisão interlocutória proferida no curso do processo não é coberta pela preclusão; | (B) cabe agravo de instrumento quanto à condenação em dano material e apelação quanto ao pedido de dano moral, que devem ser interpostos simultaneamente; | (C) há coisa julgada em relação ao pedido de ressarcimento de dano material, cabendo apenas apelação quanto à condenação em dano moral; | (D) o julgador incidiu em error in procedendo, uma vez que as questões de mérito devem ser decididas simultaneamente na sentença, que deve ser única; | (E) cabe agravo de instrumento quanto às duas manifestações judiciais, uma vez que este é a espécie recursal das decisões que versarem sobre o mérito do processo.";V.DIREITO PROCESSUAL CIVIL;13. Recursos;sem aderencia. (subtópico não encontrado)
TJAP22-25;Em uma demanda entre particulares na qual se discute a metragem de um imóvel para fins de acertamento de um direito, as partes somente protestaram por provas orais. O juiz, de ofício, determinou a produção de prova pericial e documental, para exercer seu juízo de mérito sobre a causa. Nesse cenário, pode-se afirmar que o julgador agiu de forma:;"(A) correta, uma vez que cabe ao juiz, de ofício ou a requerimento da parte, determinar as provas necessárias ao julgamento do mérito; | (B) incorreta, uma vez que viola o princípio da inércia, já que cabe às partes a iniciativa da produção probatória de seus direitos; | (C) incorreta, uma vez que o julgamento deve ser feito de acordo com as provas produzidas nos autos, não se admitindo ao juiz determinar as provas; | (D) correta, pois só cabe ao julgador verificar a quem ele deve atribuir o ônus da prova, não sendo mais ônus do autor a prova do seu direito; | (E) incorreta, uma vez que cabe ao réu a prova de que a afirmativa do autor sobre a metragem do imóvel não representa a veracidade dos fatos.";V.DIREITO PROCESSUAL CIVIL;6. Atos processuais: forma, tempo e lugar;sem aderencia. (subtópico não encontrado)
TJAP22-26;Em uma demanda judicial proposta por um único autor em face de dois réus, em litisconsórcio passivo comum, apenas um deles ofereceu contestação, não obstante ter o revel constituído procurador distinto e de outro escritório de advocacia. Tratando-se de autos eletrônicos, e sabendo-se que o juízo julgou procedente o pedido, é correto afirmar que:;"(A) será contado em dobro o prazo para que qualquer um dos litisconsortes ofereça o recurso de apelação; | (B) não será admissível a apelação do réu revel, uma vez que a revelia gerou presunção de certeza do direito do autor; | (C) o prazo para o réu contestante oferecer o recurso de apelação não será contado em dobro; | (D) o prazo para o réu contestante recorrer será contado em dobro, e para o réu revel será contado de forma simples; | (E) o prazo para o autor recorrer será contado em dobro, caso entenda existir interesse recursal.";V.DIREITO PROCESSUAL CIVIL;6. Atos processuais: forma, tempo e lugar;sem aderencia. (subtópico não encontrado)
TJAP22-27;Rafael possui três notas promissórias vencidas, nas quais Victor figura como devedor. Não obstante se tratar de dívidas distintas, o credor resolve demandar, em um único processo, a execução autônoma desses títulos em face do referido devedor, uma vez que consubstanciam obrigações certas, líquidas e exigíveis. Ao receber essa inicial, percebendo que o juízo é competente para tais cobranças, e que todas buscam o mesmo tipo de obrigação, agirá corretamente o juiz se:;"(A) determinar que o credor emende a inicial, indicando qual título pretende demandar, devendo os outros virem por via própria, uma vez que essa cumulação é inadmissível na execução; | (B) admitir a cumulação objetiva dessas execuções, pois, pelo princípio da economia processual, permite-se que o credor se utilize de um mesmo processo para execução desses títulos; | (C) inadmitir a inicial, uma vez que há necessidade de prévio processo de conhecimento para obter o necessário título executivo judicial, com o qual poderia posteriormente demandar a execução; | (D) intimar o devedor, para que manifeste sua concordância com a cumulação de execuções pretendida, sob pena do indeferimento da inicial, em caso de recusa do devedor; | (E) julgar, desde logo, procedentes os pedidos, uma vez que os referidos títulos executivos extrajudiciais consubstanciam obrigações certas, líquidas e exigíveis. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 9";VI.DIREITO CIVIL;7. Contratos em geral: teoria geral dos contratos;sem aderencia. (subtópico não encontrado)
TJAP22-28;Publicada sentença em que houve sucumbência recíproca, pois os pedidos de ressarcimento de dano material e reparação pelo dano moral foram parcialmente concedidos, ambas as partes apelaram de forma independente. O recurso da parte autora pretendia apenas a majoração da condenação fixada pelo juiz pelo dano material. Todavia, após ser surpreendido com o recurso da parte ré, que pretendia unicamente a redução da condenação fixada pelo dano moral, o autor interpõe, no prazo das contrarrazões, apelação pela via adesiva, buscando agora a integralidade também da verba pretendida a título de dano moral, que não fora objeto do recurso anterior. Nesse cenário, esse recurso adesivo:;"(A) deve ser admitido, pois a apelação interposta pela via independente foi parcial, não abrangendo a parte da sentença que se referia ao dano moral; | (B) não deve ser admitido, pois o recurso interposto pela via adesiva demandaria o prévio consentimento da parte contrária; | (C) deve ser admitido, uma vez que o autor foi intimado da apelação do réu após já ter interposto sua apelação pela via independente; | (D) não deve ser admitido, por não ser cabível em sede de recurso de apelação; | (E) não deve ser admitido, pois houve preclusão consumativa, uma vez que o recurso adesivo não serve para complementação de recurso já interposto.";V.DIREITO PROCESSUAL CIVIL;13. Recursos;sem aderência
TJAP22-29;João, pretendendo aviventar a linha divisória entre o terreno de sua propriedade e o de seu confinante José, uma vez que esta foi apagada por causa de uma enchente, propôs ação de demarcação de terras, cujo procedimento é bifásico, com o objetivo de restaurar a linha original entre os imóveis. Caso o julgador entenda que assiste razão ao requerente, agirá corretamente se prolatar:;"(A) sentença de procedência, sujeita ao recurso de apelação. Após, com o trânsito em julgado, se inicia a segunda fase do procedimento, que também se encerra com uma sentença; | (B) decisão interlocutória, sujeita ao recurso de agravo de instrumento. Após, se inicia a segunda fase do procedimento, que se encerra com a prolação de uma sentença; | (C) sentença de procedência, irrecorrível. Com o trânsito em julgado, se inicia a segunda fase do procedimento, que se encerra com o cumprimento da sentença originária; | (D) sentença homologatória de demarcação, em face da qual caberá apelação. Após, o procedimento segue com prolação de sentença executiva, que será levada a registro; | (E) decisão interlocutória, da qual não desafia agravo de instrumento. Após, segue a segunda fase do procedimento, que se encerra por sentença, da qual caberá apelação. Direito do Consumidor";V.DIREITO PROCESSUAL CIVIL;19. Procedimentos especiais e sua relação com o procedimento comum;sem aderência
